Jurisdicción,Superficie en km2,Población total,Densidad hab/km2
Ciudad Autónoma de Buenos Aires,206,3121707,"  15.161,3 "
Buenos Aires,305.907,17.523.996,"  57,3 "
Catamarca,101.486,429.562,"  4,2 "
Chaco,99.763,1.129.606,"  11,3 "
Chubut,224.302,592.621,"  2,6 "
Córdoba,164.708,3.840.905,"  23,3 "
Corrientes,89.123,1.212.696,"  13,6 "
Entre Ríos,78.384,1.425.578,"  18,2 "
Formosa,75.488,607.419,"  8,0 "
Jujuy,53.244,811.611,"  15,2 "
La Pampa,143.493,361.859,"  2,5 "
La Rioja,91.494,383.865,"  4,2 "
Mendoza,149.069,2.043.540,"  13,7 "
Misiones,29.911,1.278.873,"  42,8 "
Neuquén,94.422,710.814,"  7,5 "
Río Negro,202.169,750.768,"  3,7 "
Salta,155.341,1.441.351,"  9,3 "
San Juan,88.296,822.853,"  9,3 "
San Luis,75.347,542.069,"  7,2 "
Santa Cruz,244.458,337.226,"  1,4 "
Santa Fe,133.249,3.544.908,"  26,6 "
Santiago del Estero,136.934,1.060.906,"  7,7 "
"Tierra del Fuego, Antártida e Islas
del Atlántico Sur (1)(3)",910.324,185.732,"  0,2 "
Tucumán,22.592,1.731.820,"  76,7 "
Total,3.669.711,45.892.285,"  12,5 "